|Tau|fi|
|30.77344|0.00023|
|30.84115|0.00022|
|30.90885|0.00022|
|30.97656|0.00022|
|31.04427|0.00022|
|31.11198|0.00022|
|31.17969|0.00021|
|31.24740|0.00021|
|31.31510|0.00021|
|31.38281|0.00021|
|31.45052|0.00021|
|31.51823|0.00021|
|31.58594|0.00020|
|31.65365|0.00020|
|31.72135|0.00020|
|31.78906|0.00020|
|31.85677|0.00020|
|31.92448|0.00020|
|31.99219|0.00019|
|32.05990|0.00019|
|32.12760|0.00019|
|32.19531|0.00019|
|32.26302|0.00019|
|32.33073|0.00019|
|32.39844|0.00019|
|32.46615|0.00018|
|32.53385|0.00018|
|32.60156|0.00018|
|32.66927|0.00018|
|32.73698|0.00018|
|32.80469|0.00018|
|32.94010|0.00017|
|33.07552|0.00017|
|33.21094|0.00017|
|33.34635|0.00016|
|33.48177|0.00016|
|33.61719|0.00016|
|33.75260|0.00015|
|33.88802|0.00015|
|34.02344|0.00015|
|34.15885|0.00015|
|34.29427|0.00014|
|34.42969|0.00014|
|34.56510|0.00014|
|34.70052|0.00013|
|34.83594|0.00013|
|34.97135|0.00013|
|35.10677|0.00013|
|35.24219|0.00012|
|35.37760|0.00012|
|35.51302|0.00012|
|35.64844|0.00012|
|35.78385|0.00011|
|35.91927|0.00011|
|36.05469|0.00011|
|36.19010|0.00011|
|36.32552|0.00010|
|36.46094|0.00010|
|36.59635|0.00010|
|36.73177|0.00010|
|36.86719|0.00009|
|37.00260|0.00009|
|37.27344|0.00009|
|37.54427|0.00008|
|37.81510|0.00008|
|38.08594|0.00007|
|38.35677|0.00007|
|38.62760|0.00007|
|38.89844|0.00006|
|39.16927|0.00006|
|39.44010|0.00006|
|39.71094|0.00005|
|39.98177|0.00005|
|40.52344|0.00004|
|41.06510|0.00004|
|41.60677|0.00003|
|42.14844|0.00002|
|43.23177|0.00001|
|45.39844|-0.00000|
|47.56510|-0.00001|
|49.73177|-0.00002|
|54.06510|-0.00003|
|58.39844|-0.00003|
|62.73177|-0.00002|
|67.06510|-0.00002|
|71.39844|-0.00001|
|75.73177|-0.00001|
|80.06510|-0.00001|
|84.39844|-0.00001|
|88.73177|-0.00000|
|93.06510|-0.00000|
|97.39844|-0.00000|
|101.73177|-0.00000|
|110.39844|-0.00000|
|119.06510|-0.00000|
|127.73177|-0.00000|
|145.06510|-0.00000|
|162.39844|-0.00000|
|197.06510|0.00000|
|266.39844|-0.00000|
|301.06510|0.00000|
